Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;18 Ceuta;2010;24,3
Total Nacional;18 Ceuta;2009;21,2
Total Nacional;18 Ceuta;2008;35,7
Total Nacional;18 Ceuta;2007;44,0
Total Nacional;18 Ceuta;2006;48,6
Total Nacional;18 Ceuta;2005;29,3
Total Nacional;18 Ceuta;2004;46,8
Total Nacional;19 Melilla;2020;30,0
Total Nacional;19 Melilla;2019;23,1
Total Nacional;19 Melilla;2018;34,2
Total Nacional;19 Melilla;2017;26,0
Total Nacional;19 Melilla;2016;23,5
Total Nacional;19 Melilla;2015;26,8
Total Nacional;19 Melilla;2014;25,3
Total Nacional;19 Melilla;2013;22,6
Total Nacional;19 Melilla;2012;12,5
Total Nacional;19 Melilla;2011;7,2
Total Nacional;19 Melilla;2010;42,5
Total Nacional;19 Melilla;2009;32,4
Total Nacional;19 Melilla;2008;25,7
Total Nacional;19 Melilla;2007;46,2
Total Nacional;19 Melilla;2006;55,1
Total Nacional;19 Melilla;2005;52,8
Total Nacional;19 Melilla;2004;52,8
