Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;12 Galicia;2020;10,3
Total Nacional;12 Galicia;2019;11,8
Total Nacional;12 Galicia;2018;11,6
Total Nacional;12 Galicia;2017;13,1
Total Nacional;12 Galicia;2016;11,1
Total Nacional;12 Galicia;2015;12,5
Total Nacional;12 Galicia;2014;12,8
Total Nacional;12 Galicia;2013;11,9
Total Nacional;12 Galicia;2012;16,2
Total Nacional;12 Galicia;2011;17,1
Total Nacional;12 Galicia;2010;17,0
Total Nacional;12 Galicia;2009;14,5
Total Nacional;12 Galicia;2008;13,0
Total Nacional;12 Galicia;2007;..
Total Nacional;12 Galicia;2006;..
Total Nacional;12 Galicia;2005;..
Total Nacional;12 Galicia;2004;..
Total Nacional;13 Madrid, Comunidad de;2022;10,4
Total Nacional;13 Madrid, Comunidad de;2021;10,1
Total Nacional;13 Madrid, Comunidad de;2020;10,4
Total Nacional;13 Madrid, Comunidad de;2019;10,4
Total Nacional;13 Madrid, Comunidad de;2018;10,5
Total Nacional;13 Madrid, Comunidad de;2017;10,5
Total Nacional;13 Madrid, Comunidad de;2016;10,4
Total Nacional;13 Madrid, Comunidad de;2015;11,7
Total Nacional;13 Madrid, Comunidad de;2014;10,6
Total Nacional;13 Madrid, Comunidad de;2013;10,0
Total Nacional;13 Madrid, Comunidad de;2012;12,1
Total Nacional;13 Madrid, Comunidad de;2011;12,6
Total Nacional;13 Madrid, Comunidad de;2010;12,1
Total Nacional;13 Madrid, Comunidad de;2009;13,0
Total Nacional;13 Madrid, Comunidad de;2008;13,1
Total Nacional;13 Madrid, Comunidad de;2007;15,8
Total Nacional;13 Madrid, Comunidad de;2006;18,0
Total Nacional;13 Madrid, Comunidad de;2005;18,7
Total Nacional;13 Madrid, Comunidad de;2004;19,0
Total Nacional;14 Murcia, Región de;2022;15,5
Total Nacional;14 Murcia, Región de;2021;11,8
Total Nacional;14 Murcia, Región de;2020;14,6
Total Nacional;14 Murcia, Región de;2019;15,1
Total Nacional;14 Murcia, Región de;2018;11,0
Total Nacional;14 Murcia, Región de;2017;12,0
Total Nacional;14 Murcia, Región de;2016;14,0
Total Nacional;14 Murcia, Región de;2015;13,0
Total Nacional;14 Murcia, Región de;2014;11,0
Total Nacional;14 Murcia, Región de;2013;9,6
Total Nacional;14 Murcia, Región de;2012;14,0
Total Nacional;14 Murcia, Región de;2011;11,0
Total Nacional;14 Murcia, Región de;2010;12,0
Total Nacional;14 Murcia, Región de;2009;16,0
Total Nacional;14 Murcia, Región de;2008;18,0
Total Nacional;14 Murcia, Región de;2007;..
Total Nacional;14 Murcia, Región de;2006;..
Total Nacional;14 Murcia, Región de;2005;..
Total Nacional;14 Murcia, Región de;2004;13,0
Total Nacional;15 Navarra, Comunidad Foral de;2022;13,0
Total Nacional;15 Navarra, Comunidad Foral de;2021;12,0
Total Nacional;15 Navarra, Comunidad Foral de;2020;12,0
Total Nacional;15 Navarra, Comunidad Foral de;2019;9,9
Total Nacional;15 Navarra, Comunidad Foral de;2018;12,0
Total Nacional;15 Navarra, Comunidad Foral de;2017;8,1
Total Nacional;15 Navarra, Comunidad Foral de;2016;7,4
Total Nacional;15 Navarra, Comunidad Foral de;2015;11,5
Total Nacional;15 Navarra, Comunidad Foral de;2014;10,2
Total Nacional;15 Navarra, Comunidad Foral de;2013;9,2
Total Nacional;15 Navarra, Comunidad Foral de;2012;11,0
Total Nacional;15 Navarra, Comunidad Foral de;2011;14,0
Total Nacional;15 Navarra, Comunidad Foral de;2010;13,0
Total Nacional;15 Navarra, Comunidad Foral de;2009;13,0
Total Nacional;15 Navarra, Comunidad Foral de;2008;9,0
Total Nacional;15 Navarra, Comunidad Foral de;2007;12,0
Total Nacional;15 Navarra, Comunidad Foral de;2006;14,0
Total Nacional;15 Navarra, Comunidad Foral de;2005;9,0
Total Nacional;15 Navarra, Comunidad Foral de;2004;10,0
Total Nacional;16 País Vasco;2022;10,4
Total Nacional;16 País Vasco;2021;10,0
Total Nacional;16 País Vasco;2020;8,8
Total Nacional;16 País Vasco;2019;9,0
Total Nacional;16 País Vasco;2018;9,9
Total Nacional;16 País Vasco;2017;9,8
Total Nacional;16 País Vasco;2016;8,6
Total Nacional;16 País Vasco;2015;10,1
Total Nacional;16 País Vasco;2014;9,2
Total Nacional;16 País Vasco;2013;10,5
Total Nacional;16 País Vasco;2012;10,1
Total Nacional;16 País Vasco;2011;11,1
Total Nacional;16 País Vasco;2010;11,3
Total Nacional;16 País Vasco;2009;11,7
Total Nacional;16 País Vasco;2008;..
Total Nacional;16 País Vasco;2007;..
Total Nacional;16 País Vasco;2006;..
Total Nacional;16 País Vasco;2005;..
Total Nacional;16 País Vasco;2004;..
Total Nacional;17 Rioja, La;2022;7,1
Total Nacional;17 Rioja, La;2021;5,8
Total Nacional;17 Rioja, La;2020;7,0
Total Nacional;17 Rioja, La;2019;13,0
Total Nacional;17 Rioja, La;2018;9,8
Total Nacional;17 Rioja, La;2017;12,0
Total Nacional;17 Rioja, La;2016;12,0
Total Nacional;17 Rioja, La;2015;12,0
Total Nacional;17 Rioja, La;2014;14,0
Total Nacional;17 Rioja, La;2013;9,0
Total Nacional;17 Rioja, La;2012;11,0
Total Nacional;17 Rioja, La;2011;11,0
Total Nacional;17 Rioja, La;2010;6,4
Total Nacional;17 Rioja, La;2009;13,0
Total Nacional;17 Rioja, La;2008;..
Total Nacional;17 Rioja, La;2007;..
Total Nacional;17 Rioja, La;2006;..
Total Nacional;17 Rioja, La;2005;..
Total Nacional;17 Rioja, La;2004;..
Total Nacional;18 Ceuta;2022;8,4
Total Nacional;18 Ceuta;2021;7,7
Total Nacional;18 Ceuta;2020;7,7
Total Nacional;18 Ceuta;2019;11,0
Total Nacional;18 Ceuta;2018;..
Total Nacional;18 Ceuta;2017;..
Total Nacional;18 Ceuta;2016;..
Total Nacional;18 Ceuta;2015;..
Total Nacional;18 Ceuta;2014;..
Total Nacional;18 Ceuta;2013;..
Total Nacional;18 Ceuta;2012;..
Total Nacional;18 Ceuta;2011;..
Total Nacional;18 Ceuta;2010;..
Total Nacional;18 Ceuta;2009;..
Total Nacional;18 Ceuta;2008;..
Total Nacional;18 Ceuta;2007;..
Total Nacional;18 Ceuta;2006;..
Total Nacional;18 Ceuta;2005;..
Total Nacional;18 Ceuta;2004;..
Total Nacional;19 Melilla;2022;..
Total Nacional;19 Melilla;2021;..
Total Nacional;19 Melilla;2020;..
Total Nacional;19 Melilla;2019;..
Total Nacional;19 Melilla;2018;..
Total Nacional;19 Melilla;2017;..
Total Nacional;19 Melilla;2016;..
Total Nacional;19 Melilla;2015;..
Total Nacional;19 Melilla;2014;..
Total Nacional;19 Melilla;2013;..
Total Nacional;19 Melilla;2012;..
Total Nacional;19 Melilla;2011;..
Total Nacional;19 Melilla;2010;..
Total Nacional;19 Melilla;2009;..
Total Nacional;19 Melilla;2008;..
Total Nacional;19 Melilla;2007;..
Total Nacional;19 Melilla;2006;..
Total Nacional;19 Melilla;2005;..
Total Nacional;19 Melilla;2004;..
