Total Nacional;Comunidades y Ciudades Autónomas;periodo;Total
Total Nacional;18 Ceuta;2007;..
Total Nacional;18 Ceuta;2006;..
Total Nacional;18 Ceuta;2005;..
Total Nacional;18 Ceuta;2004;..
Total Nacional;19 Melilla;2022;..
Total Nacional;19 Melilla;2021;..
Total Nacional;19 Melilla;2020;..
Total Nacional;19 Melilla;2019;..
Total Nacional;19 Melilla;2018;..
Total Nacional;19 Melilla;2017;..
Total Nacional;19 Melilla;2016;..
Total Nacional;19 Melilla;2015;..
Total Nacional;19 Melilla;2014;..
Total Nacional;19 Melilla;2013;..
Total Nacional;19 Melilla;2012;..
Total Nacional;19 Melilla;2011;..
Total Nacional;19 Melilla;2010;..
Total Nacional;19 Melilla;2009;..
Total Nacional;19 Melilla;2008;..
Total Nacional;19 Melilla;2007;..
Total Nacional;19 Melilla;2006;..
Total Nacional;19 Melilla;2005;..
Total Nacional;19 Melilla;2004;..
